Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
2,23-06-2023 21:54,125,10,More than one player,SWE,map_125.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_125.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_125.txt
2,23-06-2023 21:54,126,10,More than one player,SWE,map_126.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_126.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_126.txt
2,23-06-2023 21:54,127,10,More than one player,SWE,map_127.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_127.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_127.txt
2,23-06-2023 21:54,128,10,More than one player,SWE,map_128.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_128.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_128.txt
2,23-06-2023 21:54,129,10,More than one player,SWE,map_129.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_129.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_129.txt
2,23-06-2023 21:54,130,10,More than one player,SWE,map_130.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_130.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_130.txt
2,23-06-2023 21:54,131,10,More than one player,SWE,map_131.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_131.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_131.txt
2,23-06-2023 21:54,132,10,No food,SWE,map_132.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_132.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_132.txt
2,23-06-2023 21:54,133,10,More than one player,SWE,map_133.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_133.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_133.txt
2,23-06-2023 21:54,134,10,More than one player,SWE,map_134.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_134.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_134.txt
2,23-06-2023 21:54,135,10,More than one player,SWE,map_135.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_135.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_135.txt
2,23-06-2023 21:54,136,10,More than one player,SWE,map_136.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_136.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_136.txt
2,23-06-2023 21:54,137,10,More than one player,SWE,map_137.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_137.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_137.txt
2,23-06-2023 21:54,138,10,More than one player,SWE,map_138.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_138.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_138.txt
